ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,15045,235.0,382.0,1.0,1.0276221949450342,0.27904084647728367,1.0,0.6796313863667164,0.39776054422331514,142.85595703819436,161.75598906995685,57.245087125446844,19.52328857815137,17.0,138.95672319064417,137.18160890366983,-44.94999125765286,689.4299999999976,0.8997667603612223,234.60884014622798,374.44985044865405,0,1
1,2,6635,797.0,333.0,1.0,1.039841604134547,0.6093832429643565,1.0,0.7451707097933513,0.7301596971787995,103.7077053774087,108.66922287382016,40.44749683231337,14.462210989818756,13.0,82.6021292988618,82.2273317618157,-81.08754048669867,337.9219999999992,0.9645297281581625,795.6753579502638,330.47927656367744,0,2
1,3,8053,475.0,538.0,1.0,1.0201723019336584,0.5201649454743182,1.0,0.7304970972423802,0.8678550442770246,109.81211477180561,108.23123393919151,44.294469180700204,16.40029911945328,14.7648230602334,91.29202751521814,93.78677414471787,35.71100322698774,341.4759999999991,0.9745855016337894,470.5091270334037,538.5275052775363,0,3
1,4,7696,1059.0,819.0,1.0,1.3862817796318763,0.7931287588489532,1.0,0.47430050536176505,0.2880653071451712,140.53213832289558,142.2708684165525,31.622776601683793,10.788488357686647,9.219544457292887,96.57668629297858,85.59166062462714,-67.00929624394705,579.4179999999981,0.7264489333585048,1068.939708939709,809.6078482328483,0,4
2,1,3261,748.0,39.0,1.0,1.028281167325778,0.5625637245082165,1.0,0.789588377723971,0.8462874820888585,71.14339977238058,71.58910531638176,28.0,10.408908502190126,9.219544457292887,58.0,58.81808514442148,-7.133662412134309,220.0499999999996,0.9639373337274608,745.213124808341,39.212204845139524,0,1
2,2,8503,636.0,110.0,1.0,1.4498087434050961,0.8492711105998041,1.0,0.4107729468599034,0.3477500605239725,156.40435054413172,164.14932226482082,29.698484809834994,11.085202644145792,9.848857801796104,91.51795538430933,82.57476975265396,43.22625775994084,554.3159999999982,0.7069338210841369,623.2270963189462,94.47406797600847,0,2
2,3,9079,496.0,70.0,1.0,1.0859677327584254,0.5858854317370605,1.0,0.7108518634512997,0.6857436013548128,122.89960086896755,126.90941651429968,42.37924020083418,15.460094456942869,14.0,101.14752056398852,99.5970859255705,13.91898403286396,407.8899999999989,0.9383009508061184,501.0490142086133,74.42570767705695,0,3
2,4,13346,678.0,210.0,1.0,1.2841280617447945,0.8229791451225663,1.0,0.6241114852225963,0.4738213723874589,181.30133259756676,185.5640051303054,43.139309220245984,15.403526126303616,14.0,114.55578374242911,102.9921355323111,22.66267589915153,594.939999999998,0.8259174453864719,662.5824966282032,215.2548329087367,0,4
2,5,4703,988.0,280.0,1.0,1.0037398120083392,0.2239406486988538,1.0,0.7443811332700222,0.8903310492911535,78.41759106775572,80.52328855678958,36.87817782917155,12.851953713954961,11.313708498984761,74.57291177756476,76.42600254023365,-54.50080336291762,257.64199999999937,0.9730009310023793,987.3006591537317,280.31362959812884,0,5
2,6,9239,1218.0,387.0,1.0,1.9733819667130925,0.8614498389927657,1.0,0.3513061333130537,0.16678421581044034,191.74993683058912,222.46123257772354,26.40075756488817,8.356757881540272,7.280109889280518,117.40266720959956,97.37879940655054,-15.632747340772575,834.3339999999971,0.5467672732652761,1186.0218638380777,414.1703647580907,0,6
2,7,25454,415.0,778.0,1.0,1.045399729033986,0.5904997959997306,1.0,0.6620370370370371,0.5985039050124735,202.16745755233325,215.23243250030885,63.953107821277925,24.01536832643292,21.93171219946131,166.75216098952222,163.156777706577,-70.59525357722954,731.0539999999974,0.9221127372844518,408.42001257169795,754.7937455802625,0,7
3,1,13723,643.0,227.0,1.0,1.286908211471331,0.8409177764041867,1.0,0.5902365591397849,0.1953974908158366,186.1530941647824,187.1069213043708,41.340053217188775,14.727087786511305,13.341664064126334,106.71736885227598,100.7391498285859,-68.68010960640692,939.4419999999968,0.8401236646361997,625.6949646578737,255.60380383298113,0,1
3,2,9056,500.0,333.0,1.0,1.027437939252919,0.2643101403765028,1.0,0.6678466076696166,0.5356348050289987,110.6150769841084,120.07081243999309,47.042533945356304,16.073152016722883,14.142135623730951,104.78372424178949,106.68135459026625,-82.00517946108022,460.9339999999985,0.9340415656747976,499.971621024735,332.04450088339223,0,2
3,3,8418,179.0,343.0,1.0,2.0579553828998365,0.8400316349761526,1.0,0.33180922349231373,0.14303359123781836,184.2667497519659,216.68410186259626,26.476404589747453,8.137975109465678,7.0,115.18164248209227,99.97160702582812,-17.37448020601486,859.9839999999972,0.5160934338789773,152.17818959372772,368.6631028747921,0,3
4,1,5744,1105.0,478.0,1.0,1.2411798134016374,0.6159968337060542,1.0,0.6746535118628142,0.25982510313051044,105.68356958891816,100.65783625729296,26.40075756488817,9.474913858907847,7.810249675906654,82.49214873413273,83.25208694234033,-86.28998390913412,527.0739999999983,0.8094701240135288,1095.9225278551532,464.9831128133705,0,1
4,2,4869,624.0,526.0,1.0,1.00325243614807,0.13901610941542497,1.0,0.7330623306233063,0.8557104442026445,79.14537537368965,81.27115109311545,37.21558813185679,12.946098467200265,11.40175425099138,77.67388899542888,78.37688325840908,-80.53799337466783,267.3999999999994,0.9643493761140818,623.5483672211953,526.7488190593551,0,2
4,3,3786,894.0,583.0,1.0,1.2019775118530835,0.797383059177984,1.0,0.6677248677248677,0.5941013958094195,92.04765007157613,97.082439194738,26.30589287593181,9.373970615711785,8.246211251235321,56.07652334612262,55.548316925041775,15.450293010088778,282.98599999999925,0.9043353636689359,887.8098256735341,583.6159535129424,0,3
4,4,19298,602.0,618.0,1.0,1.213040258172663,0.7469459822701793,1.0,0.573321449792038,0.40301701848272337,202.91684148675935,220.68982758613956,54.08326913195984,18.776364425983896,16.97056274847714,146.2,134.91630865988364,-55.39685064970997,775.7099999999973,0.8620373886047392,597.9213389988599,648.2218364597368,0,4
4,5,18410,1005.0,803.0,1.0,1.426341073079786,0.7491601159783176,1.0,0.3998175737306172,0.19422436585812095,215.15385176969917,267.9272289260649,49.39635614091387,14.929047441146322,12.649110640673518,160.53252543981404,142.51553388833207,67.8640119521318,1091.389999999996,0.6471911692329326,1008.3624117327539,798.3726235741445,0,5
4,6,2385,1013.0,937.0,1.0,1.651008180477319,0.8987022473774189,1.0,0.4927685950413223,0.4133848578173172,91.5896775928735,92.02716990106781,15.231546211727817,5.991976779117746,5.385164807134504,43.73078951644224,40.16750603496173,-67.2159783158038,269.25999999999937,0.7935451671934789,1005.5958071278826,938.0754716981132,0,6
